Seat,Candidate,Party,Amount_Raised,Percent_Raised,Amount_Spent,Percent_Spent,Percent_Votes,Votes,Winner,Incumbent
FL26,Carlos Gimenez ,gop,"$2,226,559",24.68447065,"$2,187,389",24.27699981,51.7,"177,223",Y,N
FL26,Debbie Mucarsel-Powell ,dem,"$6,793,521",75.31552935,"$6,822,740",75.72300019,48.3,"165,407",N,Y
FL27,Maria Salazar ,gop,"$3,654,190",48.7413995,"$3,645,814",49.38936137,51.4,"176,141",Y,N
FL27,Donna Shalala ,dem,"$3,842,907",51.2586005,"$3,735,966",50.61063863,48.6,"166,758",N,Y
GA01,Buddy Carter ,gop,"$2,315,487",94.68242058,"$1,734,754",93.27868094,58.3,"189,457",Y,Y
GA01,Joyce Griggs ,dem,"$130,043",5.31757942,"$125,000",6.721319056,41.7,"135,238",N,N
GA02,Sanford Bishop ,dem,"$1,540,683",90.36491829,"$1,440,571",89.86197307,59.1,"161,397",Y,Y
GA02,Don Cole ,gop,"$164,274",9.635081706,"$162,522",10.13802693,40.9,"111,620",N,N
GA03,Drew Ferguson ,gop,"$2,374,212",98.51608358,"$2,150,911",98.53650514,65,"241,526",Y,Y
GA03,Val Almonord ,dem,"$35,762",1.483916424,"$31,946",1.46349486,35,"129,792",N,N
GA05,Nikema Williams ,dem,"$553,964",64.47116823,"$362,801",54.62726929,85.1,"301,857",Y,N
GA05,Angela Stanton-King ,gop,"$305,279",35.52883177,"$301,338",45.37273071,14.9,"52,646",N,N
GA06,Lucy McBath ,dem,"$8,507,298",73.76137129,"$8,586,054",73.64323107,54.6,"216,775",Y,Y
GA06,Karen Handel ,gop,"$3,026,243",26.23862871,"$3,072,932",26.35676893,45.4,"180,329",N,N
GA07,Carolyn Bourdeaux ,dem,"$5,133,244",66.41803462,"$5,161,230",66.81243668,51.4,"190,900",Y,N
GA07,Richard McCormick ,gop,"$2,595,446",33.58196538,"$2,563,724",33.18756332,48.6,"180,564",N,N
GA08,Austin Scott ,gop,"$821,745",99.09795291,"$716,159",99.27638592,64.5,"198,701",Y,Y
GA08,Lindsay Holliday ,dem,"$7,480",0.902047092,"$5,220",0.723614078,35.5,"109,264",N,N
GA09,Andrew Clyde ,gop,"$1,569,425",94.90402414,"$1,561,316",94.85867945,78.6,"292,750",Y,N
GA09,Devin Pandy ,dem,"$84,272",5.095975865,"$84,623",5.141320547,21.4,"79,797",N,N
GA10,Jody Hice ,gop,"$595,947",97.57545988,"$457,648",97.40051334,62.3,"235,810",Y,Y
GA10,Tabitha Johnson-Green ,dem,"$14,808",2.424540118,"$12,214",2.599486658,37.7,"142,636",N,N
GA11,Barry Loudermilk ,gop,"$877,767",68.44763536,"$700,851",63.95629606,60.4,"245,259",Y,Y
GA11,Dana Barrett ,dem,"$404,625",31.55236464,"$394,977",36.04370394,39.6,"160,623",N,N
GA12,Richard W Allen ,gop,"$1,228,970",94.46123882,"$662,818",90.19416802,58.4,"181,038",Y,Y
GA12,Liz Johnson ,dem,"$72,061",5.538761182,"$72,061",9.805831981,41.6,"129,061",N,N
GA13,David Scott ,dem,"$1,209,614",95.01155819,"$1,131,746",94.73206655,77.4,"279,045",Y,Y
GA13,Becky Hites ,gop,"$63,509",4.988441808,"$62,935",5.267933448,22.6,"81,476",N,N
HI01,Ed Case ,dem,"$508,249",97.59248983,"$472,569",97.39353195,72,"183,245",N,Y
HI01,Ron Curtis ,gop,"$12,538",2.407510172,"$12,647",2.606468047,28,"71,188",N,N
HI02,Kai Kahele ,dem,"$1,235,523",95.77274493,"$1,039,637",94.94566572,63,"171,517",Y,N
HI02,Joe Akana ,gop,"$54,534",4.227255075,"$55,344",5.054334276,30.9,"84,027",N,N
ID01,Russ Fulcher ,gop,"$575,485",65.51611078,"$508,457",62.66732729,67.8,"310,736",Y,Y
ID01,Rudy Soto ,dem,"$302,902",34.48388922,"$302,902",37.33267271,28.6,"131,380",N,N
ID02,Mike Simpson ,gop,"$1,008,847",93.45320749,"$1,099,604",93.99353092,64.1,"250,669",Y,Y
ID02,Aaron Swisher ,dem,"$70,674",6.546792513,"$70,268",6.006469084,31.7,"124,151",N,N
IL01,Bobby Rush ,dem,"$541,435",98.85179397,"$496,454",98.99342376,73.8,"239,943",Y,Y
IL01,Philanise White ,gop,"$6,289",1.148206031,"$5,048",1.006576245,26.2,"85,027",N,N
IL03,Marie Newman ,dem,"$2,802,093",95.61659224,"$2,699,323",95.47342467,56.4,"172,997",Y,N
IL03,Mike Fricilone ,gop,"$128,458",4.383407762,"$127,980",4.526575326,43.6,"133,851",N,N
IL04,Jesus Garcia ,dem,"$822,846",99.74966996,"$711,159",99.88160146,84.1,"187,219",Y,Y
IL04,Jesus Solorio Jr ,gop,"$2,065",0.250330036,$843,0.118398544,15.9,"35,518",N,N
IL06,Sean Casten ,dem,"$5,582,179",63.86969033,"$5,313,570",62.88967472,52.8,"213,777",Y,Y
IL06,Jeanne Ives ,gop,"$3,157,771",36.13030967,"$3,135,464",37.11032528,45.4,"183,891",N,N
IL10,Brad Schneider ,dem,"$3,459,512",96.37229691,"$2,873,333",97.79571607,63.9,"202,402",Y,Y
IL10,Valerie Ramirez Mukherjee ,gop,"$130,225",3.627703088,"$64,764",2.204283929,36.1,"114,442",N,N
IL11,Bill Foster ,dem,"$2,381,354",99.15297392,"$1,823,906",98.91191288,63.3,"194,557",Y,Y
IL11,Rick Laib ,gop,"$20,343",0.847026082,"$20,064",1.088087116,36.7,"112,807",N,N
IL12,Mike Bost ,gop,"$1,918,041",92.24166993,"$1,509,573",93.50779431,60.4,"194,839",Y,Y
IL12,Ray Lenzi ,dem,"$161,324",7.758330067,"$104,809",6.492205686,39.6,"127,577",N,N
IL13,Rodney Davis ,gop,"$4,943,459",48.27376996,"$4,822,600",47.7273447,54.5,"181,373",Y,Y
IL13,Betsy Dirksen Londrigan ,dem,"$5,297,007",51.72623004,"$5,281,880",52.2726553,45.5,"151,648",N,N
IL14,Lauren A Underwood ,dem,"$7,803,579",76.18870159,"$7,301,503",75.66088353,50.7,"203,209",Y,Y
IL14,Jim Oberweis ,gop,"$2,438,857",23.81129841,"$2,348,798",24.33911647,49.3,"197,835",N,N
IL15,Mary Miller ,gop,"$689,057",92.15121178,"$570,356",96.06723878,73.4,"244,947",Y,N
IL15,Erika Weaver ,dem,"$58,689",7.848788225,"$23,349",3.93276122,26.6,"88,559",N,N
IL16,Adam Kinzinger ,gop,"$2,105,736",82.09241037,"$1,588,550",80.85388379,64.7,"218,839",Y,Y
IL16,Dani Brzozowski ,dem,"$459,344",17.90758963,"$376,167",19.14611621,35.3,"119,313",N,N
