Seat,Candidate,Raised,In_Distr_Perc,In_Distr_Raised_000,Vote_Share,Winner,Incumbent,In_Distr_Prop_Versus_Opponent
IA02,Rita Hart ,"$4,232,992",24.6,1041.32,50,N,N,60.21
IA03,Cindy Axne ,"$6,236,976",34.13,2128.68,49,Y,Y,54.42
IA03,David Young ,"$3,170,072",56.24,1782.85,47.6,N,N,45.58
IA04,Randy Feenstra ,"$1,906,234",37.01,705.5,62.1,Y,N,59.27
IA04,J.D. Scholten ,"$2,885,915",16.8,484.83,37.9,N,N,40.73
KS01,Tracey Mann ,"$1,403,353",58.03,814.37,71.2,Y,N,77.98
KS01,Kali Barnett ,"$603,036",38.13,229.94,28.8,N,N,22.02
KS03,Sharice Davids ,"$5,638,552",37.15,2094.72,53.6,Y,Y,66.16
KS03,Amanda Adkins ,"$2,182,382",49.09,1071.33,43.6,N,N,33.84
KS04,Ron Estes ,"$1,993,808",58.92,1174.75,63.7,Y,Y,93.64
KS04,Laura Lombard ,"$264,459",30.16,79.76,36.3,N,N,6.36
KY02,Brett Guthrie ,"$1,412,797",37.23,525.98,71,Y,Y,97.41
KY02,Hank Linderman ,"$93,388",14.97,13.98,26.3,N,N,2.59
KY04,Thomas Massie ,"$1,457,316",30.54,445.06,67.1,Y,Y,87.51
KY04,Alexandra Owensby ,"$156,174",40.67,63.52,32.9,N,N,12.49
KY06,Andy Barr ,"$4,536,264",49.89,2263.14,57.3,Y,Y,73.57
KY06,Josh Hicks ,"$2,936,320",27.69,813.07,41,N,N,26.43
LA04,Mike Johnson ,"$1,299,787",77.14,1002.66,60.4,Y,Y,97.3
LA04,Kenny Houston ,"$33,677",82.59,27.81,25.5,N,N,2.7
LA05,Luke Letlow ,"$1,392,822",58.2,810.62,33.1,N,N,87.8
LA05,Candy Christophe ,"$77,101",89.24,68.8,16.4,N,N,7.45
LA05,Martin Lemelle ,"$173,796",25.2,43.8,10.4,N,N,4.74
LA06,Garret Graves ,"$1,743,015",50.52,880.57,71,Y,Y,93.39
LA06,Dartanyon Williams ,"$111,316",55.95,62.28,25.5,N,N,6.61
ME01,Chellie Pingree ,"$487,080",67.47,328.63,62.2,Y,Y,84.35
ME01,Jay Allen ,"$79,585",76.63,60.99,37.8,N,N,15.65
ME02,Jared Golden ,"$5,272,142",14.8,780.28,53,Y,Y,63.72
ME02,Dale Crafts ,"$1,199,805",37.03,444.29,47,N,N,36.28
MD01,Andy Harris ,"$1,468,096",42.47,623.5,63.6,Y,Y,99.79
MD01,Mia Mason ,"$2,524",52.59,1.33,36.4,N,N,0.21
MD02,Dutch Ruppersberger ,"$1,012,835",6.87,69.58,67.9,Y,Y,68.93
MD02,Johnny Ray Salling ,"$68,320",45.91,31.37,32.1,N,N,31.07
MD03,John Sarbanes ,"$573,599",16,91.78,69.9,Y,Y,98.36
MD03,Charles Anthony ,"$7,798",19.67,1.53,30.1,N,N,1.64
MD05,Steny H Hoyer ,"$4,587,189",11.02,505.51,68.9,Y,Y,94.34
MD05,Chris Palombi ,"$43,462",69.78,30.33,31.1,N,N,5.66
MD06,David Trone ,"$2,944,893",14.35,422.59,58.9,Y,Y,63.62
MD06,Neil Parrott ,"$315,936",76.48,241.63,39.2,N,N,36.38
MD07,Kweisi Mfume ,"$1,014,126",19.24,195.12,71.9,Y,Y,66.21
MD07,Kimberly Klacik ,"$8,296,845",1.2,99.56,28.1,N,N,33.79
MD08,Jamie Raskin ,"$2,072,652",55.83,1157.16,68.4,Y,Y,99.29
MD08,Gregory Coll ,"$30,876",26.75,8.26,31.6,N,N,0.71
MA02,James P McGovern ,"$1,052,549",38.82,408.6,65.4,Y,Y,95.66
MA02,Tracy Lovvorn ,"$26,311",70.44,18.53,34.6,N,N,4.34
MA04,Jake Auchincloss ,"$2,608,686",44.93,1172.08,61,Y,N,93.98
MA04,Julie Hall ,"$131,603",57.05,75.08,39,N,N,6.02
MA05,Katherine Clark ,"$1,788,706",29.4,525.88,74.4,Y,Y,82.75
MA05,Caroline Colarusso ,"$148,635",73.76,109.63,25.6,N,N,17.25
MA06,Seth Moulton ,"$1,289,805",17.2,221.85,65.5,Y,Y,58.96
MA06,John Paul Moran ,"$300,220",51.43,154.4,34.5,N,N,41.04
MA09,Bill Keating ,"$708,680",46.45,329.18,61.3,Y,Y,98.09
MA09,Helen Brady ,"$28,233",22.75,6.42,36.4,N,N,1.91
MI01,John Bergman ,"$1,868,512",37.75,705.36,61.6,Y,Y,76.38
MI01,Dana Ferguson ,"$346,213",63.01,218.15,36.8,N,N,23.62
MI02,Bill Huizenga ,"$2,175,411",29.94,651.32,59.2,Y,Y,54.3
MI02,Bryan Berghoef ,"$751,576",72.94,548.2,38.2,N,N,45.7
MI03,Peter Meijer ,"$2,975,972",62.8,1868.91,53,Y,N,73.38
MI03,Hillary Scholten ,"$3,793,132",17.87,677.83,47,N,N,26.62
MI04,John Moolenaar ,"$1,528,612",45.14,690.02,65,Y,Y,97.23
MI04,Jerry Hilliard ,"$23,117",85.07,19.67,32.4,N,N,2.77
MI05,Dan Kildee ,"$1,669,951",42.12,703.38,54.5,Y,Y,93.34
MI05,Tim Kelly ,"$71,106",70.62,50.22,41.8,N,N,6.66
MI06,Fred Upton ,"$3,616,380",30.23,1093.23,55.9,Y,Y,47.86
MI06,Jon Hoadley ,"$3,116,491",38.21,1190.81,40.2,N,N,52.14
MI07,Tim Walberg ,"$2,301,635",49.2,1132.4,58.8,Y,Y,72.78
MI07,Gretchen Driskell ,"$1,712,840",24.73,423.59,41.2,N,N,27.22
MI08,Elissa Slotkin ,"$8,967,420",14.24,1276.96,50.9,Y,Y,79.05
MI08,Paul Junge ,"$2,107,608",16.06,338.48,47.3,N,N,20.95
MI10,Lisa McClain ,"$2,266,287",33.74,764.65,66.3,Y,N,97.43
MI10,Kimberly Bizon ,"$41,438",48.66,20.16,33.7,N,N,2.57
MI11,Haley Stevens ,"$5,776,924",17.3,999.41,50.2,Y,Y,75.49
MI11,Eric Esshaki ,"$1,298,612",24.99,324.52,47.8,N,N,24.51
MI12,Debbie Dingell ,"$1,630,498",29.3,477.74,66.4,Y,Y,98.43
MI12,Jeff Jones ,"$10,616",72.01,7.64,30.7,N,N,1.57
MN01,Jim Hagedorn ,"$2,386,033",36.93,881.16,48.6,Y,Y,51.5
MN01,Daniel Feehan ,"$4,861,651",17.07,829.88,45.6,N,N,48.5
MN02,Angie Craig ,"$5,380,101",19.14,1029.75,48.2,Y,Y,69.1
MN02,Tyler Kistner ,"$2,990,054",15.4,460.47,46,N,N,30.9
MN03,Dean Phillips ,"$2,328,616",42.72,994.78,55.6,Y,Y,44.61
MN03,Kendall Qualls ,"$1,863,927",66.27,1235.22,44.4,N,N,55.39
MN06,Tom Emmer ,"$2,804,265",13.33,373.81,65.8,Y,Y,90.95
MN06,Tawnja Zahradka ,"$49,242",75.54,37.2,34.2,N,N,9.05
MN07,Michelle Fischbach ,"$2,618,450",11.67,305.57,53.4,Y,N,45.57
MN07,Collin Peterson ,"$2,714,012",13.45,365.03,39.9,N,Y,54.43
MN08,Pete Stauber ,"$2,593,190",40.09,1039.61,56.8,Y,Y,64.15
MN08,Quinn Nystrom ,"$1,530,606",37.96,581.02,37.6,N,N,35.85
MS01,Trent Kelly ,"$876,882",51.38,450.54,68.7,Y,Y,97.25
MS01,Antonia Eliason ,"$22,281",57.17,12.74,31.3,N,N,2.75
MO04,Vicky Hartzler ,"$1,700,978",32.54,553.5,67.6,Y,Y,78.97
MO04,Lindsey Simmons ,"$395,934",37.22,147.37,29.7,N,N,21.03
MO05,Emanuel Cleaver ,"$1,393,847",37.04,516.28,58.8,Y,Y,91.23
MO05,Ryan Derks ,"$76,488",64.85,49.6,38.6,N,N,8.77
