Name,Race,In-District,Out-of-District
Debbie Wasserman Schultz (D),Florida District 23,12.23%,87.77%
Carla Spalding (R),Florida District 23,6.48%,93.52%
Sakinah Lehtola (D),Florida District 24,6.24%,93.76%
Lavern Spicer (R),Florida District 24,47.66%,52.34%
Frederica Wilson (D),Florida District 24,19.62%,80.38%
Christine Olivo (I),Florida District 24,2.18%,97.82%
Yadira Escobar (D),Florida District 25,13.55%,86.45%
Mario Diaz-Balart (R),Florida District 25,6.29%,93.71%
Omar Blanco (R),Florida District 26,26.24%,73.76%
Irina Vilarino (R),Florida District 26,18.31%,81.69%
Dennis Misigoy (L),Florida District 26,0.00%,100.00%
Debbie Mucarsel-Powell (D),Florida District 26,9.89%,90.11%
Carlos Gimenez (R),Florida District 26,7.19%,92.81%
Carlos Curbelo (R),Florida District 26,0.00%,100.00%
Raymond Molina (R),Florida District 27,88.59%,11.41%
Michael Hepburn (D),Florida District 27,22.85%,77.15%
Maria Salazar (R),Florida District 27,42.66%,57.34%
Juan Fiol (R),Florida District 27,85.32%,14.68%
Gabe Ferrer (R),Florida District 27,100.00%,0.00%
Frank Polo (I),Florida District 27,0.00%,100.00%
Enrique Tarrio (R),Florida District 27,13.04%,86.96%
Donna Shalala (D),Florida District 27,34.95%,65.05%
Lisa Ring (D),Georgia District 01,84.77%,15.23%
Joyce Griggs (D),Georgia District 01,27.21%,72.79%
Daniel Merritt (R),Georgia District 01,78.89%,21.11%
Buddy Carter (R),Georgia District 01,65.26%,34.74%
Barbara Seidman (D),Georgia District 01,28.64%,71.36%
Vivian Childs (R),Georgia District 02,25.63%,74.37%
Sanford Bishop (D),Georgia District 02,26.18%,73.82%
Don Cole (R),Georgia District 02,73.99%,26.01%
Valbrun Almonord (D),Georgia District 03,16.53%,83.47%
Rusty Oliver (D),Georgia District 03,0.00%,100.00%
Drew Ferguson (R),Georgia District 03,27.96%,72.04%
William Haston (D),Georgia District 04,4.97%,95.03%
Johsira C. Cruz (R),Georgia District 04,51.09%,48.91%
Hank Johnson (D),Georgia District 04,21.30%,78.70%
Elaine Nietmann (D),Georgia District 04,17.04%,82.96%
Antonio Hicks (D),Georgia District 04,4.83%,95.17%
Steven Muhammad (I),Georgia District 05,100.00%,0.00%
Robert Franklin (D),Georgia District 05,32.13%,67.87%
Nikema Williams (D),Georgia District 05,48.79%,51.21%
Mable Thomas (D),Georgia District 05,0.00%,100.00%
Kwanza Hall (D),Georgia District 05,55.39%,44.61%
Keisha Waites (D),Georgia District 05,0.00%,100.00%
John Lewis (D),Georgia District 05,4.20%,95.80%
Chase Oliver (L),Georgia District 05,0.00%,100.00%
Barrington Martin II (D),Georgia District 05,54.58%,45.42%
Angela Stanton-King (R),Georgia District 05,11.37%,88.63%
Paulette Smith (R),Georgia District 06,0.00%,100.00%
Nicole Rodden (R),Georgia District 06,9.16%,90.84%
Mykel Barthelemy (R),Georgia District 06,3.45%,96.55%
Lucy McBath (D),Georgia District 06,9.56%,90.44%
Karen Handel (R),Georgia District 06,29.07%,70.93%
Joe Profit (R),Georgia District 06,1.71%,98.29%
Brandon Beach (R),Georgia District 06,16.14%,83.86%
Blake Harbin (R),Georgia District 06,14.76%,85.24%
Zahra S. Karinshak (D),Georgia District 07,3.11%,96.89%
Richard McCormick (R),Georgia District 07,15.06%,84.94%
Renee Unterman (R),Georgia District 07,10.93%,89.07%
Rashid Malik (D),Georgia District 07,1.06%,98.94%
Nabilah Islam (D),Georgia District 07,2.88%,97.12%
Marqus Cole (D),Georgia District 07,3.54%,96.46%
Mark Gonsalves (R),Georgia District 07,15.30%,84.70%
Lynne Homrich (R),Georgia District 07,6.66%,93.34%
Lisa Babbage (R),Georgia District 07,7.67%,92.33%
Lerah Lee (R),Georgia District 07,0.28%,99.72%
John Eaves (D),Georgia District 07,0.00%,100.00%
Jacqueline Tseng (R),Georgia District 07,0.00%,0.00%
Harrison Floyd (R),Georgia District 07,0.00%,100.00%
Eugene Yu (R),Georgia District 07,9.98%,90.02%
Carolyn Bourdeaux (D),Georgia District 07,3.00%,97.00%
Brenda Lopez Romero (D),Georgia District 07,22.76%,77.24%
Lindsay Holliday (D),Georgia District 08,23.70%,76.30%
Jimmy Cooper (3),Georgia District 08,0.00%,100.00%
Daniel Ellyson (R),Georgia District 08,88.72%,11.28%
Austin Scott (R),Georgia District 08,68.37%,31.63%
Tyler James Tolin (R),Georgia District 09,0.00%,100.00%
Paul Broun (R),Georgia District 09,14.24%,85.76%
Matt Gurtler (R),Georgia District 09,25.51%,74.49%
Kevin Tanner (R),Georgia District 09,73.48%,26.52%
Kellie Weeks (R),Georgia District 09,81.82%,18.18%
John Wilkinson (R),Georgia District 09,61.30%,38.70%
Ethan Underwood (R),Georgia District 09,23.47%,76.53%
Devin Pandy (D),Georgia District 09,22.82%,77.18%
Dan Wilson (D),Georgia District 09,34.99%,65.01%
Antwon Stephens (D),Georgia District 09,1.08%,98.92%
Andrew Clyde (R),Georgia District 09,61.92%,38.08%
Tabitha Johnson-Green (D),Georgia District 10,52.55%,47.45%
Jody Hice (R),Georgia District 10,64.81%,35.19%
Clyde Elrod (D),Georgia District 10,26.62%,73.38%
Andrew Ferguson (D),Georgia District 10,35.77%,64.23%
Alvin Spitzner (D),Georgia District 10,50.00%,50.00%
Roderick Sellers (D),Georgia District 11,4.28%,95.72%
Rachel Kinsey (D),Georgia District 11,50.94%,49.06%
Flynn Broady Jr. (D),Georgia District 11,17.27%,82.73%
Dana Barrett (D),Georgia District 11,17.85%,82.15%
Barry Loudermilk (R),Georgia District 11,53.63%,46.37%
Asher Nuckolls (D),Georgia District 11,5.42%,94.58%
Adam Wynn (D),Georgia District 11,79.40%,20.60%
Richard W Allen (R),Georgia District 12,70.55%,29.45%
Liz Johnson (D),Georgia District 12,45.58%,54.42%
Michael Owens (D),Georgia District 13,15.25%,84.75%
Martin Cowen (L),Georgia District 13,0.00%,100.00%
Jannquell Peters (D),Georgia District 13,5.04%,94.96%
David Scott (D),Georgia District 13,0.80%,99.20%
Caesar Gonzales (R),Georgia District 13,78.72%,21.28%
Becky Hites (R),Georgia District 13,16.59%,83.41%
Tom Graves (R),Georgia District 14,16.18%,83.82%
Matthew Laughridge (R),Georgia District 14,1.60%,98.40%
Marjorie Taylor Greene (R),Georgia District 14,15.08%,84.92%
Kevin Van Ausdal (D),Georgia District 14,14.47%,85.53%
Kevin Cooke (R),Georgia District 14,11.59%,88.41%
John Cowan (R),Georgia District 14,56.73%,43.27%
John Barge (R),Georgia District 14,33.19%,66.81%
Clayton Fuller (R),Georgia District 14,36.98%,63.02%
Bill Hembree (R),Georgia District 14,3.31%,96.69%
Ben Bullock (R),Georgia District 14,10.83%,89.17%
Andy Gunther (R),Georgia District 14,80.00%,20.00%
Ron Curtis (R),Hawaii District 01,55.25%,44.75%
Ed Case (D),Hawaii District 01,46.89%,53.11%
Steven Bond (R),Hawaii District 02,15.25%,84.75%
Robert Nagamine (R),Hawaii District 02,51.28%,48.72%
Noelle Famera (D),Hawaii District 02,2.54%,97.46%
Kai Kahele (D),Hawaii District 02,31.68%,68.32%
Joe Akana (R),Hawaii District 02,91.37%,8.63%
Elise Kaneshiro (R),Hawaii District 02,24.96%,75.04%
David Cornejo (D),Hawaii District 02,0.00%,100.00%
Russ Fulcher (R),Idaho District 01,32.79%,67.21%
Rudy Soto (D),Idaho District 01,22.70%,77.30%
Nicholas Jones (R),Idaho District 01,0.00%,100.00%
Michael William Smith (D),Idaho District 01,0.00%,100.00%
Mike Simpson (R),Idaho District 02,21.14%,78.86%
Aaron Swisher (D),Idaho District 02,93.15%,6.85%
Sarah Gad (D),Illinois District 01,0.97%,99.03%
Robert Emmons Jr. (D),Illinois District 01,17.91%,82.09%
Philanise White (R),Illinois District 01,0.87%,99.13%
Darnell Leatherwood (D),Illinois District 01,34.36%,65.64%
Bobby L Rush (D),Illinois District 01,0.03%,99.97%
Ameena Matthews (D),Illinois District 01,24.20%,75.80%
Theresa Raborn (R),Illinois District 02,72.73%,27.27%
Robin Kelly (D),Illinois District 02,21.32%,78.68%
Rush Darwish (D),Illinois District 03,17.02%,82.98%
Mike Fricilone (R),Illinois District 03,36.43%,63.57%
Marie Newman (D),Illinois District 03,4.50%,95.50%
Daniel Lipinski (D),Illinois District 03,1.51%,98.49%
Abe Matthew (D),Illinois District 03,6.80%,93.20%
Jesus Solorio Jr (R),Illinois District 04,0.00%,100.00%
Jesus Garcia (D),Illinois District 04,3.35%,96.65%
Raleigh Bowman (D),Illinois District 05,0.00%,100.00%
Mike Quigley (D),Illinois District 05,14.26%,85.74%
Brian Burns (D),Illinois District 05,28.67%,71.33%
Sean Casten (D),Illinois District 06,28.47%,71.53%
Jeanne Ives (R),Illinois District 06,29.94%,70.06%
Gordon J Kinzler (R),Illinois District 06,0.00%,100.00%
Evelyn Sanguinetti (R),Illinois District 06,38.76%,61.24%
Bill Redpath (L),Illinois District 06,34.46%,65.54%
Tracy Jennings (3),Illinois District 07,17.06%,82.94%
Kristine Schanbacher (D),Illinois District 07,51.96%,48.04%
Kina Collins (D),Illinois District 07,46.79%,53.21%
Danny K Davis (D),Illinois District 07,23.83%,76.17%
Anthony Clark (D),Illinois District 07,18.33%,81.67%
Raja Krishnamoorthi (D),Illinois District 08,5.13%,94.87%
Inam Hussain (D),Illinois District 08,9.71%,90.29%
Sargis Sangari (R),Illinois District 09,36.75%,63.25%
Jan Schakowsky (D),Illinois District 09,34.09%,65.91%
Andrew Heldut (D),Illinois District 09,77.43%,22.57%
Valerie Ramirez Mukherjee (R),Illinois District 10,0.00%,100.00%
Brad Schneider (D),Illinois District 10,26.82%,73.18%
Andrew Wang (D),Illinois District 10,24.09%,75.91%
Adam Broad (D),Illinois District 10,3.92%,96.08%
Rick Laib (R),Illinois District 11,44.89%,55.11%
Rachel Ventura (D),Illinois District 11,28.64%,71.36%
Krishna Bansal (R),Illinois District 11,8.42%,91.58%
Dominick Stella (R),Illinois District 11,0.00%,0.00%
Bill Foster (D),Illinois District 11,3.25%,96.75%
Ray Lenzi (D),Illinois District 12,78.61%,21.39%
Mike Bost (R),Illinois District 12,63.96%,36.04%
Joel David Funk (D),Illinois District 12,74.26%,25.74%
Stefanie Smith (D),Illinois District 13,58.02%,41.98%
Rodney Davis (R),Illinois District 13,32.99%,67.01%
Betsy Dirksen Londrigan (D),Illinois District 13,21.44%,78.56%
Ted Gradel (R),Illinois District 14,4.54%,95.46%
Sue Rezin (R),Illinois District 14,25.98%,74.02%
Lauren A Underwood (D),Illinois District 14,12.48%,87.52%
Jim Oberweis (R),Illinois District 14,13.42%,86.58%
Jerry Evans (R),Illinois District 14,5.26%,94.74%
James Marter (R),Illinois District 14,67.74%,32.26%
Catalina Lauf (R),Illinois District 14,23.94%,76.06%
Mary Miller (R),Illinois District 15,50.40%,49.60%
Kevin Gaither (D),Illinois District 15,96.04%,3.96%
Kerry Wolff (R),Illinois District 15,86.67%,13.33%
Kent Gray (R),Illinois District 15,0.00%,100.00%
John Shimkus (R),Illinois District 15,13.12%,86.88%
John Hursey Jr (D),Illinois District 15,35.78%,64.22%
Erika Weaver (D),Illinois District 15,67.07%,32.93%
Darren Duncan (R),Illinois District 15,90.64%,9.36%
Craig Morton (D),Illinois District 15,66.67%,33.33%
Chuck Ellington (R),Illinois District 15,49.48%,50.52%
Sara Dady (D),Illinois District 16,100.00%,0.00%
Dani Brzozowski (D),Illinois District 16,25.18%,74.82%
Adam Kinzinger (R),Illinois District 16,14.57%,85.43%
Spanky Edwards (D),Illinois District 17,0.00%,100.00%
Esther Joy King (R),Illinois District 17,32.03%,67.97%
Cheri Bustos (D),Illinois District 17,12.08%,87.92%
Bill Fawell (R),Illinois District 17,0.00%,0.00%
Mark Haasis (D),Illinois District 18,12.79%,87.21%
George Petrilli (D),Illinois District 18,33.33%,66.67%
Darin LaHood (R),Illinois District 18,41.58%,58.42%
Wendell Mosby (D),Indiana District 01,0.00%,100.00%
Tom McDermott (D),Indiana District 01,83.36%,16.64%
Scott Costello (D),Indiana District 01,96.19%,3.81%
Sabrina Haake (D),Indiana District 01,41.30%,58.70%
Ryan Farrar (D),Indiana District 01,29.29%,70.71%
Pete Visclosky (D),Indiana District 01,12.45%,87.55%
Mont Handley (R),Indiana District 01,99.88%,0.12%
Melissa Borom (D),Indiana District 01,26.59%,73.41%
Mark Leyva (R),Indiana District 01,83.71%,16.29%
Mara Reardon (D),Indiana District 01,26.41%,73.59%
James Harper (D),Indiana District 01,48.54%,51.46%
Frank J. Mrvan (D),Indiana District 01,90.86%,9.14%
Dion Bergeron (R),Indiana District 01,21.85%,78.15%
Delano Scaife (R),Indiana District 01,99.95%,0.05%
Pat Hackett (D),Indiana District 02,75.18%,24.82%
Jackie Walorski (R),Indiana District 02,57.43%,42.57%
Jim Banks (R),Indiana District 03,67.01%,32.99%
Chris Magiera (R),Indiana District 03,0.00%,0.00%
Chip Coldiron (D),Indiana District 03,57.62%,42.38%
Carlos Marcano (D),Indiana District 03,62.76%,37.24%
Tobi Beck (D),Indiana District 04,60.00%,40.00%
Joe Mackey (D),Indiana District 04,70.67%,29.33%
Jim Baird (R),Indiana District 04,28.43%,71.57%
Benjamin Frederick (D),Indiana District 04,0.00%,100.00%
Victoria Spartz (R),Indiana District 05,47.39%,52.61%
Susan Brooks (R),Indiana District 05,43.29%,56.71%
Steve Braun (R),Indiana District 05,0.00%,100.00%
Micah Beckwith (R),Indiana District 05,91.28%,8.72%
Matt Hook (R),Indiana District 05,90.95%,9.05%
Kent Abernathy (R),Indiana District 05,44.97%,55.03%
Kelly Mitchell (R),Indiana District 05,67.90%,32.10%
Jennifer Christie (D),Indiana District 05,32.80%,67.20%
Dee Thornton (D),Indiana District 05,77.84%,22.16%
Chuck Dietzen (R),Indiana District 05,52.36%,47.64%
Christina Hale (D),Indiana District 05,30.43%,69.57%
Carl Brizzi (R),Indiana District 05,37.62%,62.38%
Beth Henderson (R),Indiana District 05,75.26%,24.74%
Andy Jacobs Jr. (D),Indiana District 05,27.32%,72.68%
Andrew Bales (R),Indiana District 05,68.18%,31.82%
Jeannine Lee Lake (D),Indiana District 06,37.20%,62.80%
Greg Pence (R),Indiana District 06,16.88%,83.12%
Barry Welsh (D),Indiana District 06,0.00%,100.00%
Susan Marie Smith (R),Indiana District 07,57.50%,42.50%
Andre Carson (D),Indiana District 07,25.25%,74.75%
Thomasina Marsili (D),Indiana District 08,62.52%,37.48%
Mike Webster (D),Indiana District 08,61.54%,38.46%
Larry Bucshon (R),Indiana District 08,55.55%,44.45%
Trey Hollingsworth (R),Indiana District 09,27.42%,72.58%
Tonya Millis (L),Indiana District 09,100.00%,0.00%
Dale Dorris (D),Indiana District 09,58.20%,41.80%
Brandon Hood (D),Indiana District 09,41.74%,58.26%
Andy Ruff (D),Indiana District 09,76.39%,23.61%
Thomas Hansen (R),Iowa District 01,78.87%,21.13%
Ashley Hinson (R),Iowa District 01,32.55%,67.45%
Abby Finkenauer (D),Iowa District 01,9.89%,90.11%
Veronica Tessler (D),Iowa District 02,45.39%,54.61%
Rita Hart (D),Iowa District 02,24.60%,75.40%
Mariannette Miller-Meeks (R),Iowa District 02,31.65%,68.35%
David Loebsack (D),Iowa District 02,39.96%,60.04%
Bobby Schilling (R),Iowa District 02,36.24%,63.76%
Josh Schoenblatt (R),Iowa District 03,0.00%,0.00%
David Young (R),Iowa District 03,56.24%,43.76%
Cindy Axne (D),Iowa District 03,34.13%,65.87%
Bill Schafer (R),Iowa District 03,36.15%,63.85%
Steven Reeder (R),Iowa District 04,2.34%,97.66%
Steven A. King (R),Iowa District 04,45.12%,54.88%
Randy Feenstra (R),Iowa District 04,37.01%,62.99%
Jeremy Taylor (R),Iowa District 04,70.66%,29.34%
J.D. Scholten (D),Iowa District 04,16.80%,83.20%
Bret Richards (R),Iowa District 04,44.29%,55.71%
Troy Waymaster (R),Kansas District 01,78.03%,21.97%
Tracey Mann (R),Kansas District 01,58.03%,41.97%
Kali Barnett (D),Kansas District 01,38.13%,61.87%
Christy Davis (D),Kansas District 01,47.92%,52.08%
Brandon Williams (D),Kansas District 01,55.56%,44.44%
Bill Clifford (R),Kansas District 01,55.67%,44.33%
Steve Watkins (R),Kansas District 02,22.70%,77.30%
Michelle De La Isla (D),Kansas District 02,43.87%,56.13%
Jake Laturner (R),Kansas District 02,36.13%,63.87%
Dennis Taylor (R),Kansas District 02,95.03%,4.97%
Abbie Hodgson (D),Kansas District 02,55.85%,44.15%
Sharice Davids (D),Kansas District 03,37.15%,62.85%
Sara Hart Weir (R),Kansas District 03,35.54%,64.46%
Mike Beehler (R),Kansas District 03,47.22%,52.78%
Amanda Adkins (R),Kansas District 03,49.09%,50.91%
Adrienne Foster (R),Kansas District 03,52.76%,47.24%
Ron Estes (R),Kansas District 04,58.92%,41.08%
Laura Lombard (D),Kansas District 04,30.16%,69.84%
James Thompson (D),Kansas District 04,0.00%,100.00%
James Rhodes (D),Kentucky District 01,0.00%,100.00%
James Comer (R),Kentucky District 01,51.14%,48.86%
Robert Lee Perry (L),Kentucky District 02,0.00%,100.00%
Hank Linderman (D),Kentucky District 02,14.97%,85.03%
Brett Guthrie (R),Kentucky District 02,37.23%,62.77%
Waymen Eddings (R),Kentucky District 03,56.05%,43.95%
Vickie Glisson (R),Kentucky District 03,100.00%,0.00%
Rhonda Palazzo (R),Kentucky District 03,85.93%,14.07%
John A Yarmuth (D),Kentucky District 03,55.43%,44.57%
Todd McMurtry (R),Kentucky District 04,72.58%,27.42%
Thomas Massie (R),Kentucky District 04,30.54%,69.46%
Shannon Fabert (D),Kentucky District 04,33.02%,66.98%
Alexandra Owensby (D),Kentucky District 04,40.67%,59.33%
Matthew Best (D),Kentucky District 05,15.69%,84.31%
Hal Rogers (R),Kentucky District 05,44.31%,55.69%
Gerardo Serrano (R),Kentucky District 05,0.00%,100.00%
Josh Hicks (D),Kentucky District 06,27.69%,72.31%
Geoffrey Young (R),Kentucky District 06,35.06%,64.94%
Daniel Kemph (D),Kentucky District 06,18.43%,81.57%
Andy Barr (R),Kentucky District 06,49.89%,50.11%
Steve Scalise (R),Louisiana District 01,1.33%,98.67%
Lee Dugas (D),Louisiana District 01,44.44%,55.56%
Troy Carter (D),Louisiana District 02,47.60%,52.40%
Karen Carter Peterson (D),Louisiana District 02,17.85%,82.15%
Gary Chambers (D),Louisiana District 02,0.24%,99.76%
Cedric Richmond (D),Louisiana District 02,24.09%,75.91%
Robert Jon Anderson (D),Louisiana District 03,7.82%,92.18%
Josh Guillory (R),Louisiana District 03,100.00%,0.00%
Clay Higgins (R),Louisiana District 03,72.18%,27.82%
Braylon Harris (D),Louisiana District 03,95.94%,4.06%
Ryan Trundle (D),Louisiana District 04,61.03%,38.97%
Mike Johnson (R),Louisiana District 04,77.14%,22.86%
Kenny Houston (D),Louisiana District 04,82.59%,17.41%
Scotty Robinson (R),Louisiana District 05,91.92%,8.08%
Ralph Abraham (R),Louisiana District 05,36.51%,63.49%
Phillip Snowden (D),Louisiana District 05,1.35%,98.65%
Martin Lemelle (D),Louisiana District 05,25.20%,74.80%
Luke Letlow (R),Louisiana District 05,58.20%,41.80%
Lance Harris (R),Louisiana District 05,55.13%,44.87%
Candy Christophe (D),Louisiana District 05,89.24%,10.76%
Brody Pierrottie (D),Louisiana District 05,0.00%,100.00%
Garret Graves (R),Louisiana District 06,50.52%,49.48%
Dartanyon Williams (D),Louisiana District 06,55.95%,44.05%
Jay Allen (R),Maine District 01,76.63%,23.37%
Chellie Pingree (D),Maine District 01,67.47%,32.53%
Lucas St. Clair (D),Maine District 02,90.50%,9.50%
Jared Golden (D),Maine District 02,14.80%,85.20%
Eric Brakey (R),Maine District 02,9.52%,90.48%
Dale Crafts (R),Maine District 02,37.03%,62.97%
Adrienne Bennett (R),Maine District 02,64.26%,35.74%
Mia Mason (D),Maryland District 01,52.59%,47.41%
Jorge Delgado (R),Maryland District 01,10.78%,89.22%
Jennifer Pingley (D),Maryland District 01,42.61%,57.39%
Andy Harris (R),Maryland District 01,42.47%,57.53%
Allison Galbraith (D),Maryland District 01,68.68%,31.32%
Tim Fazenbaker (R),Maryland District 02,82.78%,17.22%
Johnny Ray Salling (R),Maryland District 02,45.91%,54.09%
Jim Simpson (R),Maryland District 02,0.00%,100.00%
Jake Pretot (D),Maryland District 02,33.33%,66.67%
Genevieve Morris (R),Maryland District 02,0.00%,100.00%
Dutch Ruppersberger (D),Maryland District 02,6.87%,93.13%
John Sarbanes (D),Maryland District 03,16.00%,84.00%
Charles Anthony (R),Maryland District 03,19.67%,80.33%
Carole Brown (D),Maryland District 03,45.95%,54.05%
Shelia Bryant (D),Maryland District 04,5.38%,94.62%
Nnabu Eze (R),Maryland District 04,0.00%,100.00%
Anthony Brown (D),Maryland District 04,4.27%,95.73%
Steny H Hoyer (D),Maryland District 05,11.02%,88.98%
Mckayla Wilkes (D),Maryland District 05,10.65%,89.35%
Lee Havis (R),Maryland District 05,83.33%,16.67%
Kevin Jones (D),Maryland District 05,0.00%,100.00%
Doug Sayers (R),Maryland District 05,100.00%,0.00%
Chris Palombi (R),Maryland District 05,69.78%,30.22%
Briana Urbina (D),Maryland District 05,10.72%,89.28%
Neil Parrott (R),Maryland District 06,76.48%,23.52%
Maxwell Bero (D),Maryland District 06,42.40%,57.60%
David Trone (D),Maryland District 06,14.35%,85.65%
Terri Hill (D),Maryland District 07,51.18%,48.82%
Talmadge Branch (D),Maryland District 07,22.29%,77.71%
Saafir Rabb (D),Maryland District 07,15.09%,84.91%
Maya Rockeymoore Cummings (D),Maryland District 07,7.79%,92.21%
Mark Gosnell (D),Maryland District 07,37.27%,62.73%
Liz Matory (R),Maryland District 07,20.19%,79.81%
Leslie Grant (D),Maryland District 07,0.00%,0.00%
Kweisi Mfume (D),Maryland District 07,19.24%,80.76%
Kimberly Klacik (R),Maryland District 07,1.20%,98.80%
Jill Carter (D),Maryland District 07,31.64%,68.36%
Jay Jalisi (D),Maryland District 07,21.13%,78.87%
Harry Spikes (D),Maryland District 07,4.35%,95.65%
F. Michael Higginbotham (D),Maryland District 07,4.17%,95.83%
Elijah E Cummings (D),Maryland District 07,12.63%,87.37%
Amber Ivey (I),Maryland District 07,5.51%,94.49%
Jamie Raskin (D),Maryland District 08,55.83%,44.17%
Gregory Coll (R),Maryland District 08,26.75%,73.25%
Richard E Neal (D),Massachusetts District 01,5.08%,94.92%
John Cain (R),Massachusetts District 01,13.16%,86.84%
Alex Morse (D),Massachusetts District 01,16.40%,83.60%
Tracy Lovvorn (R),Massachusetts District 02,70.44%,29.56%
Summer Rae Miller (D),Massachusetts District 02,0.00%,100.00%
James P McGovern (D),Massachusetts District 02,38.82%,61.18%
Lori Trahan (D),Massachusetts District 03,42.57%,57.43%
Tom Shack (D),Massachusetts District 04,50.40%,49.60%
Nick Matthew (D),Massachusetts District 04,10.40%,89.60%
Natalia Linos (D),Massachusetts District 04,25.07%,74.93%
Julie Hall (R),Massachusetts District 04,57.05%,42.95%
Jesse Mermell (D),Massachusetts District 04,37.34%,62.66%
Jake Auchincloss (D),Massachusetts District 04,44.93%,55.07%
Ihssane Leckey (D),Massachusetts District 04,18.63%,81.37%
Herb Robinson (D),Massachusetts District 04,9.09%,90.91%
David Rosa (R),Massachusetts District 04,0.00%,100.00%
Dave Cavell (D),Massachusetts District 04,27.24%,72.76%
Christopher Zannetos (D),Massachusetts District 04,28.91%,71.09%
Ben Sigel (D),Massachusetts District 04,34.64%,65.36%
Becky Grossman (D),Massachusetts District 04,36.18%,63.82%
Alan Khazei (D),Massachusetts District 04,14.12%,85.88%
Katherine Clark (D),Massachusetts District 05,29.40%,70.60%
Caroline Colarusso (R),Massachusetts District 05,73.76%,26.24%
Seth Moulton (D),Massachusetts District 06,17.20%,82.80%
Nathaniel Mulcahy (D),Massachusetts District 06,18.58%,81.42%
Lisa Peterson (D),Massachusetts District 06,25.94%,74.06%
John Paul Moran (R),Massachusetts District 06,51.43%,48.57%
Jamie Zahlaway Belsito (D),Massachusetts District 06,45.04%,54.96%
Angus McQuilken (D),Massachusetts District 06,29.61%,70.39%
Rayla Campbell (R),Massachusetts District 07,9.96%,90.04%
Ayanna Pressley (D),Massachusetts District 07,16.48%,83.52%
Stephen F Lynch (D),Massachusetts District 08,26.83%,73.17%
Robbie Goldstein (D),Massachusetts District 08,37.80%,62.20%
Mohammad Dar (D),Massachusetts District 08,20.76%,79.24%
Michael Ruiz (D),Massachusetts District 08,0.00%,100.00%
Brianna Wu (D),Massachusetts District 08,7.33%,92.67%
Mark Sylvia (D),Massachusetts District 09,45.22%,54.78%
Helen Brady (R),Massachusetts District 09,22.75%,77.25%
Bill Keating (D),Massachusetts District 09,46.45%,53.55%
Ryan Ruzziconi (D),Michigan District 01,0.00%,100.00%
Linda O'Dell (D),Michigan District 01,69.23%,30.77%
John Bergman (R),Michigan District 01,37.75%,62.25%
Dana Ferguson (D),Michigan District 01,63.01%,36.99%
Bryan Berghoef (D),Michigan District 02,72.94%,27.06%
Bill Huizenga (R),Michigan District 02,29.94%,70.06%
Tom Norton (R),Michigan District 03,15.56%,84.44%
Peter Meijer (R),Michigan District 03,62.80%,37.20%
Nick Colvin (D),Michigan District 03,5.17%,94.83%
Lynn Afendoulis (R),Michigan District 03,36.07%,63.93%
Joel Langlois (R),Michigan District 03,61.68%,38.32%
Jim Lower (R),Michigan District 03,17.30%,82.70%
Hillary Scholten (D),Michigan District 03,17.87%,82.13%
Emily Rafi (R),Michigan District 03,6.23%,93.77%
Doug Booth (D),Michigan District 03,13.82%,86.18%
Amanda Brunzell (D),Michigan District 03,29.40%,70.60%
John Moolenaar (R),Michigan District 04,45.14%,54.86%
Jerry Hilliard (D),Michigan District 04,85.07%,14.93%
Anthony Feig (D),Michigan District 04,76.13%,23.87%
Tim Kelly (R),Michigan District 05,70.62%,29.38%
Matthew Clauss (D),Michigan District 05,0.00%,100.00%
Dan Kildee (D),Michigan District 05,42.12%,57.88%
Jon Hoadley (D),Michigan District 06,38.21%,61.79%
Jennifer Richardson (D),Michigan District 06,15.67%,84.33%
Fred Upton (R),Michigan District 06,30.23%,69.77%
Elena Oelke (R),Michigan District 06,86.94%,13.06%
Tim Walberg (R),Michigan District 07,49.20%,50.80%
Sam Larson (D),Michigan District 07,0.00%,100.00%
Sam Branscum (D),Michigan District 07,100.00%,0.00%
Ryan William Hall (D),Michigan District 07,74.63%,25.37%
Gretchen Driskell (D),Michigan District 07,24.73%,75.27%
Christopher Bartholomew Smith (D),Michigan District 07,0.00%,100.00%
Paul Junge (R),Michigan District 08,16.06%,83.94%
Nikki Snyder (R),Michigan District 08,7.62%,92.38%
Mike Detmer (R),Michigan District 08,77.82%,22.18%
Mike Bishop (R),Michigan District 08,0.00%,100.00%
Kristina Lyke (R),Michigan District 08,53.77%,46.23%
Elissa Slotkin (D),Michigan District 08,14.24%,85.76%
Brian Jaye (D),Michigan District 08,0.00%,100.00%
Alan Hoover (R),Michigan District 08,18.46%,81.54%
Gavriel Grossbard (R),Michigan District 09,13.94%,86.06%
Charles Langworthy (R),Michigan District 09,12.08%,87.92%
Andy Levin (D),Michigan District 09,13.93%,86.07%
Shane Hernandez (R),Michigan District 10,50.16%,49.84%
Paul Mitchell (R),Michigan District 10,37.62%,62.38%
Lisa McClain (R),Michigan District 10,33.74%,66.26%
Kimberly Bizon (D),Michigan District 10,48.66%,51.34%
Kelly Noland (D),Michigan District 10,3.62%,96.38%
Doug Slocum (R),Michigan District 10,29.96%,70.04%
Brandon Mikula (R),Michigan District 10,100.00%,0.00%
Bisham Singh (R),Michigan District 10,1.68%,98.32%
Whittney Williams (R),Michigan District 11,67.91%,32.09%
Kerry Bentivolio (R),Michigan District 11,20.33%,79.67%
