District,Estimated_Household_Median_Income
"Congressional District 2 (116th Congress), Oklahoma",45207
"Congressional District 3 (116th Congress), Oklahoma",54629
"Congressional District 4 (116th Congress), Oklahoma",59463
"Congressional District 5 (116th Congress), Oklahoma",54928
"Congressional District 1 (116th Congress), Oregon",81473
"Congressional District 2 (116th Congress), Oregon",57870
"Congressional District 3 (116th Congress), Oregon",73091
"Congressional District 4 (116th Congress), Oregon",55886
"Congressional District 5 (116th Congress), Oregon",68757
"Congressional District 1 (116th Congress), Pennsylvania",93474
"Congressional District 2 (116th Congress), Pennsylvania",46248
"Congressional District 3 (116th Congress), Pennsylvania",49897
"Congressional District 4 (116th Congress), Pennsylvania",91030
"Congressional District 5 (116th Congress), Pennsylvania",71880
"Congressional District 6 (116th Congress), Pennsylvania",85665
"Congressional District 7 (116th Congress), Pennsylvania",69105
"Congressional District 8 (116th Congress), Pennsylvania",56149
"Congressional District 9 (116th Congress), Pennsylvania",62078
"Congressional District 10 (116th Congress), Pennsylvania",67155
"Congressional District 11 (116th Congress), Pennsylvania",68811
"Congressional District 12 (116th Congress), Pennsylvania",55203
"Congressional District 13 (116th Congress), Pennsylvania",56618
"Congressional District 14 (116th Congress), Pennsylvania",59165
"Congressional District 15 (116th Congress), Pennsylvania",53741
"Congressional District 16 (116th Congress), Pennsylvania",54627
"Congressional District 17 (116th Congress), Pennsylvania",70857
"Congressional District 18 (116th Congress), Pennsylvania",58743
"Congressional District 1 (116th Congress), Rhode Island",66652
"Congressional District 2 (116th Congress), Rhode Island",74180
"Congressional District 1 (116th Congress), South Carolina",77185
"Congressional District 2 (116th Congress), South Carolina",60781
"Congressional District 3 (116th Congress), South Carolina",50815
"Congressional District 4 (116th Congress), South Carolina",60731
"Congressional District 5 (116th Congress), South Carolina",56282
"Congressional District 6 (116th Congress), South Carolina",41128
"Congressional District 7 (116th Congress), South Carolina",49494
"Congressional District (at Large) (116th Congress), South Dakota",59533
"Congressional District 1 (116th Congress), Tennessee",47478
"Congressional District 2 (116th Congress), Tennessee",57777
"Congressional District 3 (116th Congress), Tennessee",52491
"Congressional District 4 (116th Congress), Tennessee",59461
"Congressional District 5 (116th Congress), Tennessee",63295
"Congressional District 6 (116th Congress), Tennessee",59421
"Congressional District 7 (116th Congress), Tennessee",62720
"Congressional District 8 (116th Congress), Tennessee",60152
"Congressional District 9 (116th Congress), Tennessee",43708
"Congressional District 1 (116th Congress), Texas",54396
"Congressional District 2 (116th Congress), Texas",80922
"Congressional District 3 (116th Congress), Texas",95619
"Congressional District 4 (116th Congress), Texas",60060
"Congressional District 5 (116th Congress), Texas",57026
"Congressional District 6 (116th Congress), Texas",71161
"Congressional District 7 (116th Congress), Texas",73730
"Congressional District 8 (116th Congress), Texas",78615
"Congressional District 9 (116th Congress), Texas",49147
"Congressional District 10 (116th Congress), Texas",80528
"Congressional District 11 (116th Congress), Texas",64070
"Congressional District 12 (116th Congress), Texas",73000
"Congressional District 13 (116th Congress), Texas",54004
"Congressional District 14 (116th Congress), Texas",67459
"Congressional District 15 (116th Congress), Texas",48113
"Congressional District 16 (116th Congress), Texas",49013
