,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,FL27,Frank Polo ,gop,"$4,606","$4,662",N,N
0,FL28,Carlos Gimenez ,gop,"$2,050,947","$903,504",Y,Y
0,FL28,Robert Asencio ,dem,"$105,930","$80,821",N,N
0,FL28,Jeremiah Schaffer ,dem,"$30,515","$30,245",N,N
0,GA01,Buddy Carter ,gop,"$2,315,487","$1,734,754",Y,Y
0,GA01,Joyce Griggs ,dem,"$130,043","$125,000",N,N
0,GA02,Sanford Bishop ,dem,"$1,540,683","$1,440,571",Y,Y
0,GA02,Don Cole ,gop,"$164,274","$162,522",N,N
0,GA03,Drew Ferguson ,gop,"$2,374,212","$2,150,911",Y,Y
0,GA03,Val Almonord ,dem,"$35,762","$31,946",N,N
0,GA04,Hank Johnson ,dem,"$628,303","$490,360",Y,Y
0,GA04,Johsira C. Cruz ,gop,"$12,954","$23,146",N,N
0,GA05,Nikema Williams ,dem,"$553,964","$362,801",Y,N
0,GA05,Robert Franklin ,dem,"$360,473","$358,394",N,N
0,GA05,Angela Stanton-King ,gop,"$305,279","$301,338",N,N
0,GA05,Kwanza Hall ,dem,"$239,597","$227,091",N,N
0,GA05,Barrington Martin II ,dem,"$16,522","$16,517",N,N
0,GA05,Chase Oliver ,dem,"$9,225","$5,220",N,N
0,GA05,Steven Muhammad ,dem,"$3,497","-$4,965",N,N
0,GA05,Keisha Waites ,dem,$875,$0,N,N
0,GA06,Lucy McBath ,dem,"$8,507,298","$8,586,054",Y,Y
0,GA06,Karen Handel ,gop,"$3,026,243","$3,072,932",N,N
0,GA07,Carolyn Bourdeaux ,dem,"$5,133,244","$5,161,230",Y,N
0,GA07,Richard McCormick ,gop,"$2,595,446","$2,563,724",N,N
0,GA08,Austin Scott ,gop,"$821,745","$716,159",Y,Y
0,GA08,Jimmy Cooper ,gop,"$8,542","$8,528",N,N
0,GA08,Lindsay Holliday ,dem,"$7,480","$5,220",N,N
0,GA09,Andrew Clyde ,gop,"$1,569,425","$1,561,316",Y,N
0,GA09,Devin Pandy ,dem,"$84,272","$84,623",N,N
0,GA10,Jody Hice ,gop,"$595,947","$457,648",Y,Y
0,GA10,Tabitha Johnson-Green ,dem,"$14,808","$12,214",N,N
0,GA11,Barry Loudermilk ,gop,"$877,767","$700,851",Y,Y
0,GA11,Dana Barrett ,dem,"$404,625","$394,977",N,N
0,GA12,Richard W Allen ,gop,"$1,228,970","$662,818",Y,Y
0,GA12,Liz Johnson ,dem,"$72,061","$72,061",N,N
0,GA13,David Scott ,dem,"$1,209,614","$1,131,746",Y,Y
0,GA13,Becky Hites ,gop,"$63,509","$62,935",N,N
0,GA13,Martin Cowen ,gop,"$13,460","$13,464",N,N
0,GA14,Marjorie Taylor Greene ,gop,"$2,596,914","$2,237,599",Y,N
0,HI01,Ed Case ,dem,"$508,249","$472,569",N,Y
0,HI01,Ron Curtis ,gop,"$12,538","$12,647",N,N
0,HI02,Kai Kahele ,dem,"$1,235,523","$1,039,637",Y,N
0,HI02,Joe Akana ,gop,"$54,534","$55,344",N,N
0,HI02,Jonathan Hoomanawanui ,gop,"$1,883","$1,522",N,N
0,ID01,Russ Fulcher ,gop,"$575,485","$508,457",Y,Y
0,ID01,Rudy Soto ,dem,"$302,902","$302,902",N,N
0,ID02,Mike Simpson ,gop,"$1,008,847","$1,099,604",Y,Y
0,ID02,Aaron Swisher ,dem,"$70,674","$70,268",N,N
0,IL01,Bobby Rush ,dem,"$541,435","$496,454",Y,Y
0,IL01,Philanise White ,gop,"$6,289","$5,048",N,N
0,IL02,Robin Kelly ,dem,"$1,634,783","$1,108,137",Y,Y
0,IL03,Marie Newman ,dem,"$2,802,093","$2,699,323",Y,N
0,IL03,Mike Fricilone ,gop,"$128,458","$127,980",N,N
0,IL04,Jesus Garcia ,dem,"$822,846","$711,159",Y,Y
0,IL04,Jesus Solorio Jr ,gop,"$2,065",$843,N,N
0,IL05,Mike Quigley ,dem,"$1,171,507","$926,655",Y,Y
0,IL06,Sean Casten ,dem,"$5,582,179","$5,313,570",Y,Y
0,IL06,Jeanne Ives ,gop,"$3,157,771","$3,135,464",N,N
0,IL06,Bill Redpath ,gop,"$9,837","$9,837",N,N
0,IL07,Danny K Davis ,dem,"$544,690","$505,506",Y,Y
